p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
ReLU,0.8549047454357456,3,0,2,0,1,0,on,5.126165064324394e-05,185,93.56777954101562,-1.1252483129501345,-0.17440037429332733,60,957.1491310596466,2539.432452917099,1691538081.340714,1691539663.6236906,0.17440037429332733,158216.015625,1.1252483129501345,35.75586700439453,93.56777954101562,96.06509399414062,93.48604583740234
ReLU,0.741212155576879,3,0,0,4,1,4,on,5.899310713175971e-05,174,92.3884506225586,-1.5932109355926514,-0.11093311756849288,63,1063.8718948364258,2550.7432374954224,1691538188.0634804,1691539674.9344912,0.11093311756849288,148674.8125,1.5932109355926514,11.075936317443848,92.3884506225586,94.5661392211914,92.73819732666016
ReLU,0.8426338976655283,0,1,1,4,1,0,off,3.470150930762526e-05,184,91.30601501464844,-1.4468660354614258,-0.03811996802687645,64,1119.6075649261477,2590.0928978919983,1691538243.7991498,1691539714.2841449,0.03811996802687645,147036.203125,1.4468660354614258,11.310068130493164,91.30601501464844,93.61343383789062,81.20133972167969
ReLU,0.8109742700839808,2,0,0,2,2,1,off,4.1784165239063106e-05,165,93.49776458740234,-1.1375068426132202,-0.8009982705116272,65,1229.2318091392517,3157.9378225803375,1691538353.423396,1691540282.1290414,0.8009982705116272,192858.28125,1.1375068426132202,117.4566879272461,93.49776458740234,98.48263549804688,86.80315399169922
Mish,0.011147396391792404,4,0,0,2,4,1,off,4.461856072471325e-05,120,88.82659149169922,-2.242110013961792,-0.37927883863449097,66,1250.1680917739868,2627.6995685100555,1691538374.3596766,1691539751.8908072,0.37927883863449097,137740.84375,2.242110013961792,43.279354095458984,88.82659149169922,92.78765869140624,88.85745239257812
Hardswish,0.49922464245599024,4,0,0,0,3,1,off,1.0508098761155436e-05,98,91.52167510986328,-1.0710452795028689,-0.09853330999612808,68,1316.017523765564,1908.9216556549072,1691538440.2091117,1691539033.112879,0.09853330999612808,59278.07421875,1.0710452795028689,11.22398281097412,91.52167510986328,95.34700775146484,83.08236694335938
Hardswish,0.12662954986085162,2,0,0,2,4,1,on,3.221774967476495e-05,182,93.4798355102539,-1.5501638650894165,-0.5924959778785706,69,1322.2096848487854,2986.9230427742004,1691538446.4012692,1691540111.114283,0.5924959778785706,166459.0,1.5501638650894165,88.34803771972656,93.4798355102539,96.12286376953124,92.74846649169922
ReLU,0.6608412251237472,4,0,3,2,0,1,off,1.886137667552336e-05,190,92.46068572998048,-1.185328722000122,-0.32122722268104553,70,1372.6810891628263,2915.2051157951355,1691538496.8726745,1691540039.396351,0.32122722268104553,154240.078125,1.185328722000122,48.58821868896485,92.46068572998048,98.4610366821289,89.87229919433594
Mish,0.013596703982011928,2,1,2,4,4,0,off,0.0001047422174049234,69,93.6974868774414,-2.778109073638916,-0.676842212677002,71,1436.5773630142212,2304.615556240082,1691538560.768956,1691539428.8067825,0.676842212677002,86791.4609375,2.778109073638916,79.7317886352539,93.6974868774414,97.43830871582033,93.42742919921876
ReLU,0.0084166619402446,2,1,1,4,4,0,off,3.3088300194530535e-05,166,93.7308120727539,-1.617052435874939,-0.2803724408149719,72,1487.232797384262,3112.3016579151154,1691538611.424386,1691540236.4928706,0.2803724408149719,162494.625,1.617052435874939,43.75300598144531,93.7308120727539,99.5093002319336,92.2471160888672
ReLU,0.029033149748002456,0,1,0,4,2,2,off,8.06076589453943e-05,178,93.07592010498048,-1.5382641553878784,-0.592279851436615,73,1536.3889207839966,2909.03937125206,1691538660.580505,1691540033.2306051,0.592279851436615,137252.703125,1.5382641553878784,81.13389587402344,93.07592010498048,99.72733306884766,94.39151763916016
