p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.1921199109787192,4,0,0,0,0,0,off,0.0002618766040788782,26,83.84614562988281,-1.1731919050216677,-0.09710755944252014,213,600.0391273498535,730.0291967391968,1688961658.4868715,1688961788.4765832,83.84614562988281,88.85150146484375,0.09710755944252014,11.224754333496094,79.78702545166016,12986.6982421875,1.1731919050216677
Hardswish,0.04044899688200445,1,4,2,3,0,1,on,0.00018677837439794393,6,89.1314697265625,-1.406885027885437,-0.3103187680244446,215,613.1277198791504,665.4727203845978,1688961671.5754614,1688961723.9200914,89.1314697265625,78.2620620727539,0.3103187680244446,50.693748474121094,82.20500183105469,5226.95947265625,1.406885027885437
ReLU,0.9427549095882928,1,1,0,4,1,2,off,0.00022190115174481635,121,81.04863739013672,-1.654410719871521,-0.3213735818862915,22,0.4719724655151367,912.8143184185028,1688961058.9197369,1688961971.2614326,81.04863739013672,93.1231689453125,0.3213735818862915,40.96092987060547,85.3473129272461,90916.4140625,1.654410719871521
Hardswish,0.8024333399353774,0,2,0,0,0,3,off,0.0003554638847412445,15,59.874874114990234,-1.0865424871444702,-0.26509398221969604,221,635.9098541736603,740.4104461669922,1688961694.3575983,1688961798.857815,59.874874114990234,89.26139831542969,0.26509398221969604,46.837833404541016,69.91120147705078,10437.6904296875,1.0865424871444702
ReLU,0.019826019765695653,1,3,2,0,3,0,on,0.0002315531161478496,10,89.93901062011719,-1.282857060432434,-0.3780617415904999,223,658.3144538402557,745.9831900596619,1688961716.7621946,1688961804.430587,89.93901062011719,89.74915313720703,0.3780617415904999,42.90391540527344,85.10271453857422,8755.75390625,1.282857060432434
Hardswish,0.3106415372606369,1,0,0,0,0,1,off,3.776318922806316e-05,4,69.71902465820312,-0.7555651664733887,-0.08965958654880524,227,681.232061624527,699.1729745864868,1688961739.679803,1688961757.6203744,69.71902465820312,86.55116271972656,0.08965958654880524,9.688544273376465,68.6957015991211,1789.9722900390625,0.7555651664733887
Mish,0.08200731033042605,2,4,1,0,1,1,off,0.0002729594401276235,13,30.44665145874023,-2.3992655277252197,-0.4092440605163574,228,699.3091564178467,819.405903339386,1688961757.7568996,1688961877.8532412,30.44665145874023,46.96410369873047,0.4092440605163574,43.11670684814453,75.74585723876953,11997.3134765625,2.3992655277252197
ReLU,0.5454996249880901,3,2,1,0,0,1,on,0.0008278516296902062,75,37.88105392456055,-1.0479174852371216,-0.4069967567920685,23,0.4630658626556397,551.2645103931427,1688961058.9108214,1688961609.7115726,37.88105392456055,46.186370849609375,0.4069967567920685,57.13893508911133,83.1148910522461,54734.69921875,1.0479174852371216
ReLU,0.2931739309378585,1,0,0,0,0,1,off,0.00022847042673052148,3,50.142921447753906,-0.67201167345047,-0.08406278491020203,251,860.3290135860443,874.0973536968231,1688961918.7767544,1688961932.5447628,50.142921447753906,82.62352752685547,0.08406278491020203,10.004353523254396,67.6148452758789,1373.15087890625,0.67201167345047
Mish,0.5311493257134939,3,1,1,4,4,3,on,4.536530308085211e-05,61,81.90473937988281,-2.5425398349761963,-0.14454708993434906,28,0.4792208671569824,714.9187815189362,1688961058.9269872,1688961773.3658872,81.90473937988281,85.04615783691406,0.14454708993434906,14.7072114944458,45.07854843139648,71098.640625,2.5425398349761963
