p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
ReLU,0.0066932730293193,3,4,4,3,4,3,off,1.751431971452996e-05,31,67.9656982421875,-2.58217716217041,-0.1538281887769699,64,1691698233.880304,1691698409.7076263,0.1538281887769699,35076.58984375,2.58217716217041,19.852693557739254,67.9656982421875,74.37002563476562,69.30452728271484,False
Hardswish,0.0148360951102487,2,0,3,4,3,2,on,7.19555415619018e-05,127,88.45927429199219,-1.6374257802963257,-0.5960395932197571,65,1691698233.8880074,1691698711.1835268,0.5960395932197571,95241.71875,1.6374257802963257,85.03463745117188,88.45927429199219,95.38518524169922,88.17190551757812,False
Mish,0.1975345860785251,4,4,1,0,1,4,on,0.0008785053473431,59,36.42213439941406,-2.093632698059082,-0.0592029057443141,66,1691698233.6584325,1691698509.1456854,0.0592029057443141,54874.33984375,2.093632698059082,7.7351393699646,36.42213439941406,45.10002136230469,39.18279266357422,False
Mish,0.0194908386252053,4,4,0,2,2,0,off,0.0005251266570877,136,75.76860046386719,-3.4859402179718018,-0.5484719276428223,67,1691698233.701057,1691699122.0146952,0.5484719276428223,177443.703125,3.4859402179718018,79.7153091430664,75.76860046386719,91.4920883178711,78.00213623046875,False
Hardswish,0.0618001618528263,3,4,4,1,4,3,on,5.905062995327224e-05,66,75.37230682373047,-2.460731029510498,-0.134004071354866,68,1691698233.677145,1691698558.19636,0.134004071354866,64703.72265625,2.460731029510498,15.213255882263184,75.37230682373047,75.20257568359375,74.9356460571289,False
Mish,0.0011008103134259,4,4,2,0,2,4,off,3.3014139895404024e-05,125,72.6832275390625,-3.9209060668945312,-0.5658990740776062,69,1691698233.1773548,1691699253.0843184,0.5658990740776062,203727.03125,3.9209060668945312,79.39849090576172,72.6832275390625,84.84651184082031,72.13136291503906,False
Mish,0.0419944003173619,2,0,2,4,1,2,off,2.8230263742367548e-05,75,85.47190856933594,-3.1513400077819824,-0.7881320714950562,70,1691698233.7155008,1691698712.6762388,0.7881320714950562,95596.1328125,3.1513400077819824,115.94701385498048,85.47190856933594,96.82093048095705,84.75936126708984,False
Hardswish,0.0291684302454345,1,1,2,0,3,4,off,1.920151928947039e-05,115,84.30036926269531,-1.3586350679397583,-0.3569005727767944,71,1691698233.7262633,1691698576.9332173,0.3569005727767944,68427.375,1.3586350679397583,47.06344985961914,84.30036926269531,98.32781219482422,84.58367919921875,False
ReLU,0.02081189416708,3,0,3,2,1,3,off,0.0002675804201341,5,54.61572647094727,-0.9955955147743224,-0.3957235217094421,72,1691698233.7324452,1691698247.1071408,0.3957235217094421,2463.591796875,0.9955955147743224,54.69617462158203,54.61572647094727,58.26540756225586,56.59054565429688,False
ReLU,0.0023728270572355,3,2,2,3,0,4,off,0.0001235974658515,42,73.88335418701172,-1.6517568826675415,-0.6067031025886536,73,1691698233.735481,1691698406.8967545,0.6067031025886536,34418.87890625,1.6517568826675415,87.19206237792969,73.88335418701172,81.03102111816406,75.29183197021484,False
