p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.2759056704467317,3,4,0,3,0,4,on,0.0002209725619853594,83,88.55870056152344,-1.744429588317871,-0.12452339380979538,8,0.4083938598632813,708.3078575134277,1688837082.8372588,1688837790.7355635,88.55870056152344,92.57608032226562,0.12452339380979538,14.46834945678711,89.12034606933594,70369.46875,1.744429588317871
ReLU,0.8356253827425586,1,2,3,3,4,0,off,0.0001431812428861736,55,39.29939270019531,-3.1530981063842773,-0.4348609745502472,82,0.5228726863861084,472.3473780155182,1688837082.9517138,1688837554.775106,39.29939270019531,91.19416809082033,0.4348609745502472,54.168968200683594,80.31449127197266,46772.0390625,3.1530981063842773
Mish,0.11103190811881428,3,1,3,4,2,1,on,0.0006111398866916878,59,87.47642517089844,-3.1801109313964844,-0.37511491775512695,84,0.5324206352233887,930.7750177383424,1688837082.961258,1688838013.2033956,87.47642517089844,92.026123046875,0.37511491775512695,54.75412368774414,82.20260620117188,92632.8828125,3.1801109313964844
Hardswish,0.6443607913514587,1,2,4,0,4,3,on,0.0005769984679543344,48,50.247745513916016,-2.2943410873413086,-0.45145881175994873,87,0.5315616130828857,635.3335757255554,1688837082.9603992,1688837717.7619298,50.247745513916016,64.64881134033203,0.45145881175994873,55.44850158691406,48.97690963745117,63075.07421875,2.2943410873413086
Hardswish,0.06334239041312931,2,3,0,1,1,4,off,8.600328409841437e-05,95,92.86117553710938,-1.5801794528961182,-0.38901466131210327,9,0.4088232517242432,837.2844524383545,1688837082.8376825,1688837919.7128062,92.86117553710938,97.70806884765624,0.38901466131210327,50.16160202026367,92.41242218017578,83273.9296875,1.5801794528961182
ReLU,0.16546974061097108,0,2,2,0,0,1,on,0.0007001497736873266,141,93.0102767944336,-1.3579407930374146,-0.6158370971679688,91,0.5503435134887695,964.7247364521028,1688837082.9791834,1688838047.153087,93.0102767944336,90.38068389892578,0.6158370971679688,66.53254699707031,88.88843536376953,96003.8984375,1.3579407930374146
Hardswish,0.7626291683647733,3,2,3,1,1,2,on,0.00030609515821938805,18,52.54090881347656,-1.4285693168640137,-0.5399043560028076,94,0.5368869304656982,197.36483526229856,1688837082.9657197,1688837279.7924075,52.54090881347656,88.0654296875,0.5399043560028076,75.65740966796875,78.74459838867188,19272.1796875,1.4285693168640137
ReLU,0.3019286261215075,4,4,2,4,0,2,on,0.0006043704097441193,54,54.37825775146485,-2.0943045616149902,-0.546210765838623,96,0.5328316688537598,629.7144811153412,1688837082.9616694,1688837712.1419349,54.37825775146485,82.3225326538086,0.546210765838623,69.2227783203125,63.07345962524414,62506.40234375,2.0943045616149902
Hardswish,0.1914549288151327,2,3,0,1,1,3,on,0.00039301715009160105,77,83.83480072021484,-1.4228696823120115,-0.3668553233146667,97,0.5402836799621582,795.5601856708527,1688837082.969124,1688837877.9877114,83.83480072021484,93.24444580078124,0.3668553233146667,56.202152252197266,90.66940307617188,79098.78125,1.4228696823120115
Mish,0.5981881003262881,1,2,4,0,0,0,on,0.0005004630622806128,96,37.355857849121094,-3.2948739528656006,-0.43490031361579895,189,985.3861467838287,1944.0526139736176,1688838067.814984,1688839026.4808493,37.355857849121094,76.74278259277344,0.43490031361579895,49.941776275634766,86.3544692993164,95854.296875,3.2948739528656006
